"product_category_name_english","customer_state","customer_state_full","total_payment","rank","pct_of_category"
"fashion_male_clothing","MG","Minas Gerais",3063.31,2,18.32
"fashion_male_clothing","PR","Paraná",1626.55,3,9.73
"fashion_shoes","SP","São Paulo",9079.93,1,28.59
"fashion_shoes","MG","Minas Gerais",4348.43,2,13.69
"fashion_shoes","RJ","Rio de Janeiro",4029.66,3,12.69
"fashion_sport","SP","São Paulo",1170.75,1,32.47
"fashion_sport","PA","Pará",1048.48,2,29.08
"fashion_sport","MA","Maranhão",314.37,3,8.72
"fashion_underwear_beach","SP","São Paulo",4168.02,1,33.57
"fashion_underwear_beach","RJ","Rio de Janeiro",2273.84,2,18.31
"fashion_underwear_beach","MG","Minas Gerais",1879.45,3,15.14
"fixed_telephony","RJ","Rio de Janeiro",115214.61,1,59.9
"fixed_telephony","ES","Espírito Santo",30248.54,2,15.73
"fixed_telephony","SP","São Paulo",20906.57,3,10.87
"flowers","SP","São Paulo",784.47,1,35.45
"flowers","RJ","Rio de Janeiro",567.98,2,25.67
"flowers","PE","Pernambuco",290.24,3,13.12
"food","SP","São Paulo",23782.14,1,52.45
"food","RJ","Rio de Janeiro",4971.23,2,10.96
"food","MG","Minas Gerais",3019.12,3,6.66
"food_drink","SP","São Paulo",11499.58,1,43.22
"food_drink","RJ","Rio de Janeiro",5624.96,2,21.14
"food_drink","MG","Minas Gerais",3071.09,3,11.54
"furniture_bedroom","SP","São Paulo",16785.5,1,55.85
"furniture_bedroom","RJ","Rio de Janeiro",5223.4,2,17.38
"furniture_bedroom","MG","Minas Gerais",2419.97,3,8.05
"furniture_decor","SP","São Paulo",533872.18,1,38.29
"furniture_decor","RJ","Rio de Janeiro",177682.75,2,12.74
"furniture_decor","MG","Minas Gerais",154998.2,3,11.12
"furniture_living_room","SP","São Paulo",51629.39,1,38.44
"furniture_living_room","RJ","Rio de Janeiro",34665.14,2,25.81
"furniture_living_room","MG","Minas Gerais",11439.49,3,8.52
"furniture_mattress_and_upholstery","SP","São Paulo",2868.42,1,48.58
"furniture_mattress_and_upholstery","RJ","Rio de Janeiro",1368.35,2,23.17
"furniture_mattress_and_upholstery","MG","Minas Gerais",723.4,3,12.25
"garden_tools","SP","São Paulo",254857.78,1,31.44
"garden_tools","RJ","Rio de Janeiro",113245.71,2,13.97
"garden_tools","MG","Minas Gerais",102524.02,3,12.65
"health_beauty","SP","São Paulo",604558.9,1,37.3
"health_beauty","MG","Minas Gerais",196285.96,2,12.11
"health_beauty","RJ","Rio de Janeiro",178266.9,3,11
"home_appliances","SP","São Paulo",38486.77,1,41.01
"home_appliances","RJ","Rio de Janeiro",10377.39,2,11.06
"home_appliances","MG","Minas Gerais",7144.1,3,7.61
"home_appliances_2","SP","São Paulo",35754.42,1,30.08
"home_appliances_2","RJ","Rio de Janeiro",30408.73,2,25.58
"home_appliances_2","RS","Rio Grande do Sul",11599.71,3,9.76
